"","h0","sigma","beta","SE.h0","SE.sigma","SE.beta","N","SE.N","h0.nomem","sigma.nomem","SE.h0.nomem","SE.sigma.nomem","N.nomem","SE.N.nomem","n","true.tau","time.memory","time.no.memory"
"48",1.83561532553943,-1.70841430822792,2.81962163701829,0.358863206134718,0.126192953366444,0.271521530168694,14.1940607777539,2.90568886364709,0.0208861076550332,-1.48041944257564,0.228821702317349,0.144882082548061,15.2641640264073,3.37272183406789,9,5,60.9627728462219,18.250935792923
"49",2.0701002050899,-0.924897255745742,2.32066209475079,0.141104926360601,0.0430061968859876,0.125635776228752,14.1129780083702,1.10464933554967,-0.0874237759040783,-1.19328990199838,0.0903566539434843,0.073796713710094,19.3248745146224,3.13795740425256,13,5,92.278459072113,29.9169330596924
"50",2.3197192805749,-1.43349941228108,2.60687292161044,0.221451254443568,0.06583529164355,0.136098211113806,17.1805240979692,2.37109972270085,-0.0762716292646862,-1.30824197563162,0.140008101597404,0.172287353336045,20.4518785085085,3.8385716302153,13,5,55.5980229377747,25.8732650279999
"51",1.01059529767903,-1.39006949794094,3.22822861805117,0.1308396732452,0.0915418670413649,0.148820519523998,17.4261430525642,2.87385331389611,0.587652523035411,-1.22144842086703,0.146044286774599,0.105694174016126,16.7336446846365,2.65696552742439,12,5,76.9807090759277,20.4272201061249
"52",0.308919998427777,-1.41343160173543,3.51629796296465,0.177774134680795,0.0877793569238182,0.290736522185688,17.4194325969532,3.26611684571635,-0.0533049140374132,-1.36547645988995,0.111107879633167,0.0836029939013137,17.7635069397778,3.36260640116739,11,5,56.8772559165955,24.860836982727
"53",1.15648920748611,-0.850180764932762,1.70497621849876,0.15185385736185,0.0788581390499993,0.129297854619667,13.452862597908,1.30529079875595,0.0544078614185671,-1.44190658255511,0.119321353126501,0.0846581454445712,19.8749023875445,3.67982654960986,12,5,57.4046900272369,18.9659910202026
"54",0.821094796450999,-1.52399930747809,3.27756393978308,0.106760223122907,0.0666384147244964,0.174199485841093,18.9933603986861,3.36138301217474,0.171089017336116,-1.30423027094026,0.119119181273564,0.0775584555261784,18.2782989242221,3.14452751734224,12,5,1.28513823350271,1.0641420006752
"55",0.409205584763418,-1.38075182191188,3.65972336648703,0.110174210210334,0.0739380687207369,0.218825813316433,21.5603155790793,3.47330166232319,0.0165225354883121,-1.32318429653232,0.115341559102864,0.085135363181123,21.936317679711,3.62024892920247,14,5,64.7943150997162,22.1848680973053
"56",0.954085183405064,-1.46576426519662,2.87132448109089,0.15099170353973,0.0741642230357317,0.195008366046154,16.6831175021102,2.96827816521604,0.102907990388896,-1.34713332958312,0.145226372972574,0.0971083517413754,17.2621889408748,3.21707254143304,11,5,64.6037709712982,17.5238070487976
"57",0.509803947285494,-1.38267127632619,3.08857115033004,0.136459660471352,0.0761185590576807,0.198621012116848,15.2434515054907,2.85918058077565,-0.0561031281218181,-1.27144527456002,0.114545333496075,0.0906651787260107,15.4026950468375,2.95446572850088,10,5,57.5867211818695,276.40784907341
